,Reference,Schisto. Type,Country,Drug,Number,Dosage,Sample Size,Age,Sex (M:F),Year,Inclusion Criteria,Blind/Double Blind,Study Type,Followup/Endpoint,Cure Rate,Egg Reduction Rate,Conclusion,Notes,Reference,URL,x = exclude,,,,,,,,,,,,,,,,
"Gryseels B, 1989","Gryseels B, Nkulikyinka L. Two-year follow-up of Schistosoma mansoni infection and morbidity after treatment with different regimens of oxamniquine and praziquantel. Transactions of the Royal Society of Tropical Medicine and Hygiene 1989;83(2):219–28.",s. mansoni,Burundi,Oxamniquine ,Single,20 mg/kg ,63,children (<20) & adults (>20) ,data not available ,1986,63 children and 267 adults (Children only were included in the efficacy analysis),Yes,Yes,6 weeks,47%,98%,"It is concluded that: (i) repeated population chemotherapy combined with sanitation is necessary to achieve lasting impact on infection rates; (ii) retreatment intervals should be adapted to age group and, possibly, local endemicity level; (iii) the morbidity impact of population chemotherapy in these conditions was greater on intestinal than on hepatosplenic disease; (iv) lower, cheaper treatment schedules may in the long term be as effective as those with high cure rates.",exact age ranges not given ,"Gryseels B, Nkulikyinka L. Two-year follow-up of Schistosoma mansoni infection and morbidity after treatment with different regimens of oxamniquine and praziquantel. Transactions of the Royal Society of Tropical Medicine and Hygiene 1989;83(2):219–28.",,,,,,,,,,,,,,,,,,
"Gryseels B, 1989","Gryseels B, Nkulikyinka L. Two-year follow-up of Schistosoma mansoni infection and morbidity after treatment with different regimens of oxamniquine and praziquantel. Transactions of the Royal Society of Tropical Medicine and Hygiene 1989;83(2):219–28.",s. mansoni,Burundi,Praziquantel ,Single,40 mg/kg ,299,children (<20) & adults (>20) ,data not available ,1986,299 children and 153 adults (Children only were included in the efficacy analysis),Yes,Yes,6 weeks,78%,98%,"It is concluded that: (i) repeated population chemotherapy combined with sanitation is necessary to achieve lasting impact on infection rates; (ii) retreatment intervals should be adapted to age group and, possibly, local endemicity level; (iii) the morbidity impact of population chemotherapy in these conditions was greater on intestinal than on hepatosplenic disease; (iv) lower, cheaper treatment schedules may in the long term be as effective as those with high cure rates.",exact age ranges not given ,"Gryseels B, Nkulikyinka L. Two-year follow-up of Schistosoma mansoni infection and morbidity after treatment with different regimens of oxamniquine and praziquantel. Transactions of the Royal Society of Tropical Medicine and Hygiene 1989;83(2):219–28.",,,,,,,,,,,,,,,,,,
"Gryseels B, 1989","Gryseels B, Nkulikyinka L. Two-year follow-up of Schistosoma mansoni infection and morbidity after treatment with different regimens of oxamniquine and praziquantel. Transactions of the Royal Society of Tropical Medicine and Hygiene 1989;83(2):219–28.",s. mansoni,Burundi,Praziquantel ,Single,30 mg/kg ,299,children (<20) & adults (>20) ,data not available ,1986,299 children and 153 adults (Children only were included in the efficacy analysis),Yes,Yes,6 weeks,63%,96%,"It is concluded that: (i) repeated population chemotherapy combined with sanitation is necessary to achieve lasting impact on infection rates; (ii) retreatment intervals should be adapted to age group and, possibly, local endemicity level; (iii) the morbidity impact of population chemotherapy in these conditions was greater on intestinal than on hepatosplenic disease; (iv) lower, cheaper treatment schedules may in the long term be as effective as those with high cure rates.",exact age ranges not given ,"Gryseels B, Nkulikyinka L. Two-year follow-up of Schistosoma mansoni infection and morbidity after treatment with different regimens of oxamniquine and praziquantel. Transactions of the Royal Society of Tropical Medicine and Hygiene 1989;83(2):219–28.",,,,,,,,,,,,,,,,,,
"Gryseels B, 1989","Gryseels B, Nkulikyinka L. Two-year follow-up of Schistosoma mansoni infection and morbidity after treatment with different regimens of oxamniquine and praziquantel. Transactions of the Royal Society of Tropical Medicine and Hygiene 1989;83(2):219–28.",s. mansoni,Burundi,Praziquantel ,Single,20 mg/kg ,299,children (<20) & adults (>20) ,data not available ,1986,299 children and 153 adults (Children only were included in the efficacy analysis),Yes,Yes,6 weeks,58%,92%,"It is concluded that: (i) repeated population chemotherapy combined with sanitation is necessary to achieve lasting impact on infection rates; (ii) retreatment intervals should be adapted to age group and, possibly, local endemicity level; (iii) the morbidity impact of population chemotherapy in these conditions was greater on intestinal than on hepatosplenic disease; (iv) lower, cheaper treatment schedules may in the long term be as effective as those with high cure rates.",exact age ranges not given ,"Gryseels B, Nkulikyinka L. Two-year follow-up of Schistosoma mansoni infection and morbidity after treatment with different regimens of oxamniquine and praziquantel. Transactions of the Royal Society of Tropical Medicine and Hygiene 1989;83(2):219–28.",,,,,,,,,,,,,,,,,,
"Guisse F, 1997","Guisse F, Polman K, Stelma FF, Mbaye A, Talla I, Niang M, et al.Therapeutic evaluation of two different dose regimens of praziquantel in a recent Schistosoma mansoni focus in Northern Senegal. American Journal of Tropical Medicine and Hygiene 1997;56(5):511–4.",s. mansoni,Senegal,Praziquantel ,Single,40 mg/kg,67,5 - 15,37:30,1997,children infected with S. mansoni,Yes,Yes,Antigen detection confirmed the parasitologic results 6 weeks after treatment,36%,99%,Side effects are more comparable with those of 30 kg/mg and not those of 60 mg/kg. No serious or long complications are observed. ,,"Guisse F, Polman K, Stelma FF, Mbaye A, Talla I, Niang M, et al.Therapeutic evaluation of two different dose regimens of praziquantel in a recent Schistosoma mansoni focus in Northern Senegal. American Journal of Tropical Medicine and Hygiene 1997;56(5):511–4.",,,,,,,,,,,,,,,,,,
"Guisse F, 1997","Guisse F, Polman K, Stelma FF, Mbaye A, Talla I, Niang M, et al.Therapeutic evaluation of two different dose regimens of praziquantel in a recent Schistosoma mansoni focus in Northern Senegal. American Journal of Tropical Medicine and Hygiene 1997;56(5):511–4.",s. mansoni,Senegal,Praziquantel ,Two,30 mg/kg,63,5 - 15 ,30:33,1997,children infected with S. mansoni,Yes,Yes,Antigen detection confirmed the parasitologic results 6 weeks after treatment,49%,99%,Side effects are more comparable with those of 30 kg/mg and not those of 60 mg/kg. No serious or long complications are observed. ,,"Guisse F, Polman K, Stelma FF, Mbaye A, Talla I, Niang M, et al.Therapeutic evaluation of two different dose regimens of praziquantel in a recent Schistosoma mansoni focus in Northern Senegal. American Journal of Tropical Medicine and Hygiene 1997;56(5):511–4.",,,,,,,,,,,,,,,,,,
"Gupta KK, 1984",Gupta KK. Schistosoma mansoni treatment with oral oxamniquine in Zambia. East African Medical Journal 1984; 61(8):641–4.,s. mansoni,Zambia,Oxamniquine ,Two,15 mg/kg ,20,6-64 years ,41:18,1982,M/F mean age 29 years old infected with S.mansoni,Yes,Yes,"Follow-up: one, two, three and six months. Cure rate given at 6 months with no S.manoni in stool",100%,100%,"Oral oxamniquine is a safe, effective and well tolerate treatment for s.mansoni infestation in zambian patients. ",Schistoma Mansoni treatment with oral oxamniquine zambia,Gupta KK. Schistosoma mansoni treatment with oral oxamniquine in Zambia. East African Medical Journal 1984; 61(8):641–4.,,,,,,,,,,,,,,,,,,
"Gupta KK, 1984",Gupta KK. Schistosoma mansoni treatment with oral oxamniquine in Zambia. East African Medical Journal 1984; 61(8):641–4.,s. mansoni,Zambia,Oxamniquine ,Two,10 mg/kg,20,6-64 years ,41:18,1982,M/F mean age 29 years old infected with S.mansoni,Yes,Yes,"Follow-up: one, two, three and six months",100%,100%,"Oral oxamniquine is a safe, effective and well tolerate treatment for s.mansoni infestation in zambian patients. ",Schistoma Mansoni treatment with oral oxamniquine zambia,Gupta KK. Schistosoma mansoni treatment with oral oxamniquine in Zambia. East African Medical Journal 1984; 61(8):641–4.,,,,,,,,,,,,,,,,,,
"Gupta KK, 1984",Gupta KK. Schistosoma mansoni treatment with oral oxamniquine in Zambia. East African Medical Journal 1984; 61(8):641–4.,s. mansoni,Zambia,Oxamniquine ,Two,15 mg/kg,20,6-64 years ,41:18,1982,M/F mean age 29 years old infected with S.mansoni,Yes,Yes,"Follow-up: one, two, three and six months",90%,95.20%,"Oral oxamniquine is a safe, effective and well tolerate treatment for s.mansoni infestation in zambian patients. ",Schistoma Mansoni treatment with oral oxamniquine zambia,Gupta KK. Schistosoma mansoni treatment with oral oxamniquine in Zambia. East African Medical Journal 1984; 61(8):641–4.,,,,,,,,,,,,,,,,,,
"Hou XY, 2008","Hou XY, McManus DP, Gray DJ, Balen J, Luo XS, He YK, Ellis M, Williams GM, Li YS. A randomized, double‐blind, placebo‐controlled trial of safety and efficacy of combined praziquantel and artemether treatment for acute schistosomiasis japonica in China. Bull World Health Organ 2008; 86: 788‐795.",s. japonicum,China,Artemether & Praziquantel ,Single,60 mg/kg; 6 mg/kg ,51,10-60,192: 13,2005,"aged 10–60 yrs (mean 22) i) pregnancy confirmed by a positive pregnancy test, (ii) known hypersensitivity to PZQ or AM, (iii) had received anti-schistosomal treatment before hospitalization, (iv) had water contact within the 45-day post-AM/ placebo treatment, or (v) had severe clinical signs/symptoms of disease",Yes,Yes,Primary endpoint of the trial was human infection status (determined by positive stool examination). he group B had a greater treatment efficacy (96.4%) than the group D (95.7%). Group A treatment was better for clearance of fever (P < 0.05) and resulted in a shorter hospitalization time,98.00%,,The combination of AM and PZQ chemotherapy did not improve treatment efficacy compared with PZQ alone.,,"Hou XY, McManus DP, Gray DJ, Balen J, Luo XS, He YK, Ellis M, Williams GM, Li YS. A randomized, double‐blind, placebo‐controlled trial of safety and efficacy of combined praziquantel and artemether treatment for acute schistosomiasis japonica in China. Bull World Health Organ 2008; 86: 788‐795.",,,,,,,,,,,,,,,,,,
"Hou XY, 2008","Hou XY, McManus DP, Gray DJ, Balen J, Luo XS, He YK, Ellis M, Williams GM, Li YS. A randomized, double‐blind, placebo‐controlled trial of safety and efficacy of combined praziquantel and artemether treatment for acute schistosomiasis japonica in China. Bull World Health Organ 2008; 86: 788‐795.",s. japonicum,China,Artemether Placebo & Praziquantel ,Single,60 mg/kg ,55,10-60,192: 13,2005,"aged 10–60 yrs (mean 22) i) pregnancy confirmed by a positive pregnancy test, (ii) known hypersensitivity to PZQ or AM, (iii) had received anti-schistosomal treatment before hospitalization, (iv) had water contact within the 45-day post-AM/ placebo treatment, or (v) had severe clinical signs/symptoms of disease",Yes,Yes,Primary endpoint of the trial was human infection status (determined by positive stool examination). he group B had a greater treatment efficacy (96.4%) than the group D (95.7%). Group A treatment was better for clearance of fever (P < 0.05) and resulted in a shorter hospitalization time,96.40%,,The combination of AM and PZQ chemotherapy did not improve treatment efficacy compared with PZQ alone.,,"Hou XY, McManus DP, Gray DJ, Balen J, Luo XS, He YK, Ellis M, Williams GM, Li YS. A randomized, double‐blind, placebo‐controlled trial of safety and efficacy of combined praziquantel and artemether treatment for acute schistosomiasis japonica in China. Bull World Health Organ 2008; 86: 788‐795.",,,,,,,,,,,,,,,,,,
"Hou XY, 2008","Hou XY, McManus DP, Gray DJ, Balen J, Luo XS, He YK, Ellis M, Williams GM, Li YS. A randomized, double‐blind, placebo‐controlled trial of safety and efficacy of combined praziquantel and artemether treatment for acute schistosomiasis japonica in China. Bull World Health Organ 2008; 86: 788‐795.",s. japonicum,China,Artemether & Praziquantel ,Single,120 mg/kg; 6 mg/kg ,44,10-60,192: 13,2005,"aged 10–60 yrs (mean 22) i) pregnancy confirmed by a positive pregnancy test, (ii) known hypersensitivity to PZQ or AM, (iii) had received anti-schistosomal treatment before hospitalization, (iv) had water contact within the 45-day post-AM/ placebo treatment, or (v) had severe clinical signs/symptoms of disease",Yes,Yes,Primary endpoint of the trial was human infection status (determined by positive stool examination). he group B had a greater treatment efficacy (96.4%) than the group D (95.7%). Group A treatment was better for clearance of fever (P < 0.05) and resulted in a shorter hospitalization time,97.70%,,The combination of AM and PZQ chemotherapy did not improve treatment efficacy compared with PZQ alone.,,"Hou XY, McManus DP, Gray DJ, Balen J, Luo XS, He YK, Ellis M, Williams GM, Li YS. A randomized, double‐blind, placebo‐controlled trial of safety and efficacy of combined praziquantel and artemether treatment for acute schistosomiasis japonica in China. Bull World Health Organ 2008; 86: 788‐795.",,,,,,,,,,,,,,,,,,
"Hou XY, 2008","Hou XY, McManus DP, Gray DJ, Balen J, Luo XS, He YK, Ellis M, Williams GM, Li YS. A randomized, double‐blind, placebo‐controlled trial of safety and efficacy of combined praziquantel and artemether treatment for acute schistosomiasis japonica in China. Bull World Health Organ 2008; 86: 788‐795.",s. japonicum,China,Artemether Placebo & Praziquantel ,Single,120 mg/kg ,46,10-60,192: 13,2005,"aged 10–60 yrs (mean 22) i) pregnancy confirmed by a positive pregnancy test, (ii) known hypersensitivity to PZQ or AM, (iii) had received anti-schistosomal treatment before hospitalization, (iv) had water contact within the 45-day post-AM/ placebo treatment, or (v) had severe clinical signs/symptoms of disease",Yes,Yes,Primary endpoint of the trial was human infection status (determined by positive stool examination). he group B had a greater treatment efficacy (96.4%) than the group D (95.7%). Group A treatment was better for clearance of fever (P < 0.05) and resulted in a shorter hospitalization time,95.70%,,The combination of AM and PZQ chemotherapy did not improve treatment efficacy compared with PZQ alone.,,"Hou XY, McManus DP, Gray DJ, Balen J, Luo XS, He YK, Ellis M, Williams GM, Li YS. A randomized, double‐blind, placebo‐controlled trial of safety and efficacy of combined praziquantel and artemether treatment for acute schistosomiasis japonica in China. Bull World Health Organ 2008; 86: 788‐795.",,,,,,,,,,,,,,,,,,
"Ibrahim AM, 1980",Ibrahim AM. Evaluation of oxamniquine in the treatment of S. mansoni infection among Sudanese patients. East African Medical Journal 1980;57(8):566–73.,s. mansoni,Sudan,Oxamniquine ,Two,15 mg/kg,45,18-25,,1980,all university students attending the university hospital found to have S. mansoni infection,Yes,Yes,"Follow-up: one, two and three months",88%,92%,Oral oxamniquine proved to achieve very high cure and ova reduction rates. ,Evaluation of oxamniquine in the treatment of S. mansoni infection among Sudanese patients.,Ibrahim AM. Evaluation of oxamniquine in the treatment of S. mansoni infection among Sudanese patients. East African Medical Journal 1980;57(8):566–73.,,,,,,,,,,,,,,,,,,
"Ibrahim AM, 1980",Ibrahim AM. Evaluation of oxamniquine in the treatment of S. mansoni infection among Sudanese patients. East African Medical Journal 1980;57(8):566–73.,s. mansoni,Sudan,Oxamniquine ,Two,10 mg/kg,45,18-25,,1980,all university students attending the university hospital found to have S. mansoni infection,Yes,Yes,"Follow-up: one, two and three months",68%,65%,Oral oxamniquine proved to achieve very high cure and ova reduction rates. ,Evaluation of oxamniquine in the treatment of S. mansoni infection among Sudanese patients.,Ibrahim AM. Evaluation of oxamniquine in the treatment of S. mansoni infection among Sudanese patients. East African Medical Journal 1980;57(8):566–73.,,,,,,,,,,,,,,,,,,
"Inyang-Etoh PC, 2009","Inyang-Etoh, P. C., et al. ""Efficacy of a combination of praziquantel and artesunate in the treatment of urinary schistosomiasis in Nigeria.""Transactions of the Royal Society of Tropical Medicine and Hygiene 103.1 (2009): 38-44.",s. haematobium,Nigeria,Artesunate ,Single,4 mg/kg,44,4 - 20,1 : 1,2009,4 to 20 (M/F) Heavy infection subjects with S.mansoi,Yes,Yes,"Cure rate was determined by completement of treatment and examined by urine apperarance [color, clear,cloudy,presense/absence of blood]",60%,,"This study confirmed that oral artesunate administered at a dose of 4 mg/kg body weight and praziquantel administered orally at a dose of 40 mg/kg body weight, either singly or in combination, are safe, well tolerated and effective in the treatment of S. haematobium infection in this setting. It also re-confirmed the efficacy of artesunate and its comparability with praziquantel in the treatment of S.haematobium infection in the study area and also demonstratedthat combined treatment with praziquantel and artesunate for S. haematobium infections is safe and more effective than treatment with either drug alone in Adim community",Efficacy of a combination of praziquantel and artesunate in the treatment of urinary schistosomiasis in Nigeria,"Inyang-Etoh, P. C., et al. ""Efficacy of a combination of praziquantel and artesunate in the treatment of urinary schistosomiasis in Nigeria.""Transactions of the Royal Society of Tropical Medicine and Hygiene 103.1 (2009): 38-44.",,,,,,,,,,,,,,,,,,
"Inyang-Etoh PC, 2009","Inyang-Etoh, P. C., et al. ""Efficacy of a combination of praziquantel and artesunate in the treatment of urinary schistosomiasis in Nigeria.""Transactions of the Royal Society of Tropical Medicine and Hygiene 103.1 (2009): 38-44.",s. haematobium,Nigeria,Artesunate & Praziquantel ,Single,4 mg/kg; 40 mg/kg,44,4 - 20,1 : 1,2009,4 to 20 (M/F) Heavy infection subjects with S.mansoi,Yes,Yes,"Cure rate was determined by completement of treatment and examined by urine apperarance [color, clear,cloudy,presense/absence of blood]",92.30%,,"This study confirmed that oral artesunate administered at a dose of 4 mg/kg body weight and praziquantel administered orally at a dose of 40 mg/kg body weight, either singly or in combination, are safe, well tolerated and effective in the treatment of S. haematobium infection in this setting. It also re-confirmed the efficacy of artesunate and its comparability with praziquantel in the treatment of S.haematobium infection in the study area and also demonstratedthat combined treatment with praziquantel and artesunate for S. haematobium infections is safe and more effective than treatment with either drug alone in Adim community",Efficacy of a combination of praziquantel and artesunate in the treatment of urinary schistosomiasis in Nigeria,"Inyang-Etoh, P. C., et al. ""Efficacy of a combination of praziquantel and artesunate in the treatment of urinary schistosomiasis in Nigeria.""Transactions of the Royal Society of Tropical Medicine and Hygiene 103.1 (2009): 38-44.",,,,,,,,,,,,,,,,,,
"Inyang-Etoh PC, 2009","Inyang-Etoh, P. C., et al. ""Efficacy of a combination of praziquantel and artesunate in the treatment of urinary schistosomiasis in Nigeria.""Transactions of the Royal Society of Tropical Medicine and Hygiene 103.1 (2009): 38-44.",s. haematobium,Nigeria,Praziquantel,Single,40 mg/kg,42,4 - 20,1 : 1,2009,4 to 20 (M/F) Heavy infection subjects with S.mansoi,Yes,Yes,"Cure rate was determined by completement of treatment and examined by urine apperarance [color, clear,cloudy,presense/absence of blood]",77.80%,,"This study confirmed that oral artesunate administered at a dose of 4 mg/kg body weight and praziquantel administered orally at a dose of 40 mg/kg body weight, either singly or in combination, are safe, well tolerated and effective in the treatment of S. haematobium infection in this setting. It also re-confirmed the efficacy of artesunate and its comparability with praziquantel in the treatment of S.haematobium infection in the study area and also demonstratedthat combined treatment with praziquantel and artesunate for S. haematobium infections is safe and more effective than treatment with either drug alone in Adim community",Efficacy of a combination of praziquantel and artesunate in the treatment of urinary schistosomiasis in Nigeria,"Inyang-Etoh, P. C., et al. ""Efficacy of a combination of praziquantel and artesunate in the treatment of urinary schistosomiasis in Nigeria.""Transactions of the Royal Society of Tropical Medicine and Hygiene 103.1 (2009): 38-44.",,,,,,,,,,,,,,,,,,
"Inyang-Etoh PC, 2009","Inyang-Etoh, P. C., et al. ""Efficacy of a combination of praziquantel and artesunate in the treatment of urinary schistosomiasis in Nigeria.""Transactions of the Royal Society of Tropical Medicine and Hygiene 103.1 (2009): 38-44.",s. haematobium,Nigeria,Artesunate ,Single,4 mg/kg,44,4 - 20,1 : 1,2009,4 to 20 (M/F) Heavy infection subjects with S.mansoi,Yes,Yes,"Cure rate was determined by completement of treatment and examined by urine apperarance [color, clear,cloudy,presense/absence of blood]",30%,,"This study confirmed that oral artesunate administered at a dose of 4 mg/kg body weight and praziquantel administered orally at a dose of 40 mg/kg body weight, either singly or in combination, are safe, well tolerated and effective in the treatment of S. haematobium infection in this setting. It also re-confirmed the efficacy of artesunate and its comparability with praziquantel in the treatment of S.haematobium infection in the study area and also demonstratedthat combined treatment with praziquantel and artesunate for S. haematobium infections is safe and more effective than treatment with either drug alone in Adim community",Efficacy of a combination of praziquantel and artesunate in the treatment of urinary schistosomiasis in Nigeria,"Inyang-Etoh, P. C., et al. ""Efficacy of a combination of praziquantel and artesunate in the treatment of urinary schistosomiasis in Nigeria.""Transactions of the Royal Society of Tropical Medicine and Hygiene 103.1 (2009): 38-44.",,,,,,,,,,,,,,,,,,
"Kabatereine NB, 2003","NB Kabatereine et al. (2003). Efficacy and side effects of praziquantel treatment in a highly endemicSchistosoma mansoni focus at Lake Albert, Uganda. Transactions of the Royal Society of Tropical Medicine and Hygiene,97(5),pp.599-603",s. mansoni,Uganda,Praziquantal,Single,40 mg/kg,482,5-54,,1997,Schistosomiasis patients who had lived in the town for a minimum of 3 years,No,Yes,6 weeks following first treatment,49.10%,97.70%,The marked reductions in faecal egg excretion and the acceptable level of side effects point to a single praziquantel treatment,"Efficacy and side effects of prazinquantel treatment in a highly endemic Schistosoma mansoni focus at Lake Albert, Uganda","NB Kabatereine et al. (2003). Efficacy and side effects of praziquantel treatment in a highly endemicSchistosoma mansoni focus at Lake Albert, Uganda. Transactions of the Royal Society of Tropical Medicine and Hygiene,97(5),pp.599-603",,,,,,,,,,,,,,,,,,
"Karanja D, 1998","Karanja, Diana, Anne E. Boyer, Mette Strand, Daniel G. Colley, Bernard L. Nahlen, John H. Ouma, and Evan W. Secor. ""STUDIES ON SCHISTOSOMIASIS IN WESTERN KENYA: II. EFFICACY OF PRAZIQUANTEL FOR TREATMENT OF SCHISTOSOMIASIS IN PERSONS COINFECTED WITH HUMAN IMMUNODEFICIENCY VIRUS-1."" Am. J. Trop Med 59.2 (1998): 307-11.",s. mansoni,Kenya,Praziquantel,Single,40 mg/kg,15,,,1998,Individuals infected with Schistosomiasis and HIV infection,No,No,"4 weeks following treatment, stool and urine samples were examined for the presence of schistosome eggs",,93%,The results of this study demonstrating that praziquantel is effective against schistosomiasis in HIV-1 infected individuals is encouraging.,STUDIES ON SCHISTOSOMIASIS IN WESTERN KENYA: II. EFFICACY OF PRAZIQUANTEL FOR TREATMENT OF SCHISTOSOMIASIS IN PERSONS COINFECTED WITH HUMAN IMMUNODEFICIENCY VIRUS-1,"Karanja, Diana, Anne E. Boyer, Mette Strand, Daniel G. Colley, Bernard L. Nahlen, John H. Ouma, and Evan W. Secor. ""STUDIES ON SCHISTOSOMIASIS IN WESTERN KENYA: II. EFFICACY OF PRAZIQUANTEL FOR TREATMENT OF SCHISTOSOMIASIS IN PERSONS COINFECTED WITH HUMAN IMMUNODEFICIENCY VIRUS-1."" Am. J. Trop Med 59.2 (1998): 307-11.",,,,,,,,,,,,,,,,,,
"Kardaman MW, 1983","Kardaman MW, Amin MA, Fenwick A, Cheesmond AK, Dixon HG. A field trial using praziquantel (Biltricide) to treat Schistosoma mansoni and Schistosoma haematobium infection in Gezira, Sudan. Annals of Tropical Medicine and Parasitology 1983;77(3):297–304.",s. mansoni,Sudan,Praziquantel,Single,40 mg/kg,179,6 - 13,,1983,schoolchildren who provided two stool samples positive for S. mansoni or two urine samples positive ,No,Yes,Cure rate 3 months,78.80%,>95%,"The results suggest that chemotherapy with praziquantel is safe, effective and acceptable, and that concurrent transmission control could increase the interval before subsequent chemotherapy would otherwise be required.","A field trial using praziquantel (Biltricide"") to treat Schistosoma mansoni and Schistosoma haematobium infection in Gezira, Sudan","Kardaman MW, Amin MA, Fenwick A, Cheesmond AK, Dixon HG. A field trial using praziquantel (Biltricide) to treat Schistosoma mansoni and Schistosoma haematobium infection in Gezira, Sudan. Annals of Tropical Medicine and Parasitology 1983;77(3):297–304.",,,,,,,,,,,,,,,,,,
"Kardaman MW, 1983","Kardaman MW, Amin MA, Fenwick A, Cheesmond AK, Dixon HG. A field trial using praziquantel (Biltricide) to treat Schistosoma mansoni and Schistosoma haematobium infection in Gezira, Sudan. Annals of Tropical Medicine and Parasitology 1983;77(3):297–304.",s. mansoni,Sudan,Praziquantel ,Two,20 mg/kg,171,6 - 13 ,,1983,schoolchildren who provided two stool samples positive for S. mansoni or two urine samples positive ,No,Yes,Cure rate 3 months,90.60%,>95%,"The results suggest that chemotherapy with praziquantel is safe, effective and acceptable, and that concurrent transmission control could increase the interval before subsequent chemotherapy would otherwise be required.","A field trial using praziquantel (Biltricide"") to treat Schistosoma mansoni and Schistosoma haematobium infection in Gezira, Sudan","Kardaman MW, Amin MA, Fenwick A, Cheesmond AK, Dixon HG. A field trial using praziquantel (Biltricide) to treat Schistosoma mansoni and Schistosoma haematobium infection in Gezira, Sudan. Annals of Tropical Medicine and Parasitology 1983;77(3):297–304.",,,,,,,,,,,,,,,,,,
"Kardaman MW, 1985","Kardaman MW, Fenwick A, el Igail AB, el Tayeb M, Daffalla AA, Dixon HG. Treatment with praziquantel of schoolchildren with concurrent Schistosoma mansoni and S. haematobium infections in Gezira, Sudan. Journal of Tropical Medicine and Hygiene 1985;88(2):105–9.",s. mansoni; s.haematobium,Sudan,Praziquantel,Single,40 mg,112,7 - 11,146 : 74,1985,schoolchildren who provided two stool samples positive for S. mansoni or two urine samples positive ,No,Yes, follow up study : Cure rate 3 month,64.70%,,"The results suggest that for schoolchildren in Gezira, chemotherapy will be required every 6 months to keep the prevalence low, unless some effective transmission control method can be found.","Treatment with praziquantel of schoolchildren with concurrent Schistosoma mansoni and S. haematobium infections in Gezira, Sudan","Kardaman MW, Fenwick A, el Igail AB, el Tayeb M, Daffalla AA, Dixon HG. Treatment with praziquantel of schoolchildren with concurrent Schistosoma mansoni and S. haematobium infections in Gezira, Sudan. Journal of Tropical Medicine and Hygiene 1985;88(2):105–9.",,x,,,,,,,,,,,,,,,,
"Kardaman MW, 1985","Kardaman MW, Fenwick A, el Igail AB, el Tayeb M, Daffalla AA, Dixon HG. Treatment with praziquantel of schoolchildren with concurrent Schistosoma mansoni and S. haematobium infections in Gezira, Sudan. Journal of Tropical Medicine and Hygiene 1985;88(2):105–9.",s. mansoni; s.haematobium.,Sudan,Praziquantel ,Two,20 mg,103,7 - 11,147 : 74,1985,schoolchildren who provided two stool samples positive for S. mansoni or two urine samples positive ,No,Yes,follow up study : Cure rate 3 month,61.80%,,"The results suggest that for schoolchildren in Gezira, chemotherapy will be required every 6 months to keep the prevalence low, unless some effective transmission control method can be found.","Treatment with praziquantel of schoolchildren with concurrent Schistosoma mansoni and S. haematobium infections in Gezira, Sudan","Kardaman MW, Fenwick A, el Igail AB, el Tayeb M, Daffalla AA, Dixon HG. Treatment with praziquantel of schoolchildren with concurrent Schistosoma mansoni and S. haematobium infections in Gezira, Sudan. Journal of Tropical Medicine and Hygiene 1985;88(2):105–9.",,x,,,,,,,,,,,,,,,,
"Katz N, 1977","Katz N., Zicker F., Pereira J.P. Field trials with oxamniquine in a schistosomiasis mansoni‐endemic area. Am J trop Med Hyg (1977) 26(1); 234‐237.",s. mansoni,Brazil,Oxamniquine ,Single,20 mg/kg,19,2 - 15,,1977,,No,No,Efficacy was determined by stool examination for S.mansoni eggs 3-4 months after treatment and negative stool for eggs were considered cure,73.70%,>90%,Adults treated with smaller dose of oxamniquine than children had higher rate of cure. effective schistosomicidal drug,Field Trials with Oxamniquine in a Schistosomiasis mansoni-endemic area,"Katz N., Zicker F., Pereira J.P. Field trials with oxamniquine in a schistosomiasis mansoni‐endemic area. Am J trop Med Hyg (1977) 26(1); 234‐237.",,,,,,,,,,,,,,,,,,
"Katz N, 1977","Katz N., Zicker F., Pereira J.P. Field trials with oxamniquine in a schistosomiasis mansoni‐endemic area. Am J trop Med Hyg (1977) 26(1); 234‐237.",s. mansoni,Brazil,Oxamniquine,Two,10 mg/kg,47,2 - 15,,1977,,No,No,Efficacy was determined by stool examination for S.mansoni eggs 3-4 months after treatment and negative stool for eggs were considered cure,62.20%,>90%,Adults treated with smaller dose of oxamniquine than children had higher rate of cure. effective schistosomicidal drug,,"Katz N., Zicker F., Pereira J.P. Field trials with oxamniquine in a schistosomiasis mansoni‐endemic area. Am J trop Med Hyg (1977) 26(1); 234‐237.",,,,,,,,,,,,,,,,,,
"Katz N, 1977","Katz N., Zicker F., Pereira J.P. Field trials with oxamniquine in a schistosomiasis mansoni‐endemic area. Am J trop Med Hyg (1977) 26(1); 234‐237.",s. mansoni,Brazil,Oxamniquine,Single,15 mg/kg,154,Adults,,1977,,No,No,Efficacy was determined by stool examination for S.mansoni eggs 3-4 months after treatment and negative stool for eggs were considered cure,82.40%,>90%,Adults treated with smaller dose of oxamniquine than children had higher rate of cure. effective schistosomicidal drug,,"Katz N., Zicker F., Pereira J.P. Field trials with oxamniquine in a schistosomiasis mansoni‐endemic area. Am J trop Med Hyg (1977) 26(1); 234‐237.",,,,,,,,,,,,,,,,,,
